order_id,order_date,order_time,customer_id
1,1/1/2015,11:38:36,1
2,1/1/2015,11:57:40,2
3,1/1/2015,12:12:28,3
4,1/1/2015,12:16:31,4
5,1/1/2015,12:21:30,5
6,1/1/2015,12:29:36,6
7,1/1/2015,12:50:37,7
8,1/1/2015,12:51:37,8
9,1/1/2015,12:52:01,9
10,1/1/2015,13:00:15,10
11,1/1/2015,13:02:59,11
12,1/1/2015,13:04:41,12
13,1/1/2015,13:11:55,13
14,1/1/2015,13:14:19,14
15,1/1/2015,13:33:00,15
16,1/1/2015,13:34:07,16
17,1/1/2015,13:53:00,17
18,1/1/2015,13:57:08,18
19,1/1/2015,13:59:09,19
20,1/1/2015,14:03:08,20
21,1/1/2015,14:14:29,21
22,1/1/2015,14:16:26,22
23,1/1/2015,14:19:03,23
24,1/1/2015,14:23:01,24
25,1/1/2015,14:44:44,25
26,1/1/2015,14:54:26,26
27,1/1/2015,15:11:17,27
28,1/1/2015,15:35:46,28
29,1/1/2015,15:41:01,29
30,1/1/2015,15:41:25,30
31,1/1/2015,15:50:18,31
32,1/1/2015,15:53:18,32
33,1/1/2015,15:54:08,33
34,1/1/2015,16:21:21,34
35,1/1/2015,16:32:04,35
36,1/1/2015,16:54:09,36
37,1/1/2015,16:56:09,37
38,1/1/2015,17:03:00,38
39,1/1/2015,17:07:23,39
40,1/1/2015,17:14:36,40
41,1/1/2015,17:15:20,41
42,1/1/2015,17:28:09,42
43,1/1/2015,17:38:34,43
44,1/1/2015,17:54:20,44
45,1/1/2015,17:55:48,45
46,1/1/2015,18:25:51,46
47,1/1/2015,18:26:34,47
48,1/1/2015,18:26:42,48
49,1/1/2015,18:33:00,49
50,1/1/2015,18:41:01,50
51,1/1/2015,18:48:28,51
52,1/1/2015,18:53:02,52
53,1/1/2015,18:54:17,53
54,1/1/2015,19:01:45,54
55,1/1/2015,19:03:19,55
56,1/1/2015,19:07:00,56
57,1/1/2015,19:10:51,57
58,1/1/2015,19:30:40,58
59,1/1/2015,19:40:08,59
60,1/1/2015,20:05:16,60
61,1/1/2015,20:08:43,61
